Country,Order,Total,Ranking,Year
NORWAY,11,37,1,2022
ROC,12,32,2,2022
GERMANY,13,27,3,2022
CANADA,14,26,4,2022
USA,15,24,5,2022
SWEDEN,16,18,6,2022
AUSTRIA,17,18,6,2022
JAPAN,18,18,6,2022
NETHERLANDS,19,17,7,2022
ITALY,20,17,7,2022
NORWAY,21,35,1,2018
GERMANY,22,31,2,2018
CANADA,23,29,3,2018
USA,24,23,4,2018
NETHERLANDS,25,20,5,2018
ROC,26,17,6,2018
SWITZERLAND,27,15,7,2018
FRANCE,28,15,7,2018
SOUTH KOREA,29,14,8,2018
SWEDEN,30,14,8,2018
ROC,31,30,1,2014
USA,32,28,2,2014
NORWAY,33,26,3,2014
CANADA,34,25,4,2014
NETHERLANDS,35,24,5,2014
GERMANY,36,19,6,2014
AUSTRIA,37,17,7,2014
FRANCE,38,15,8,2014
SWEDEN,39,15,8,2014
SWITZERLAND,40,11,9,2014
USA,41,37,1,2010
GERMANY,42,30,2,2010
CANADA,43,26,3,2010
NORWAY,44,23,4,2010
AUSTRIA,45,16,5,2010
ROC,46,15,6,2010
SOUTH KOREA,47,14,7,2010
CHINA,48,11,8,2010
SWEDEN,49,11,8,2010
FRANCE,50,11,8,2010
GERMANY,51,29,1,2006
USA,52,25,2,2006
CANADA,53,24,3,2006
AUSTRIA,54,23,4,2006
ROC,55,22,5,2006
SWEDEN,56,14,6,2006
SWITZERLAND,57,14,6,2006
SOUTH KOREA,58,11,7,2006
ITALY,59,11,7,2006
FRANCE,60,9,8,2006
NETHERLANDS,61,9,8,2006
GERMANY,62,36,1,2002
USA,63,34,2,2002
NORWAY,64,25,3,2002
CANADA,65,17,4,2002
AUSTRIA,66,17,4,2002
ROC,67,13,5,2002
ITALY,68,13,5,2002
FRANCE,69,11,6,2002
NETHERLANDS,70,8,7,2002
FINLAND,71,7,8,2002
GERMANY,72,29,1,1998
NORWAY,73,25,2,1998
ROC,74,18,3,1998
AUSTRIA,75,17,4,1998
CANADA,76,15,5,1998
USA,77,13,6,1998
FINLAND,78,12,7,1998
NETHERLANDS,79,11,8,1998
JAPAN,80,10,9,1998
ITALY,81,10,9,1998
